period,msn,Item,seriesDescription,value,unit
1957,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1958,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1959,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1960,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1961,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1962,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1963,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1964,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1965,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1966,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1967,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1968,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1969,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1970,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,82874.8,Million Nominal Dollars
1971,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,90037.8,Million Nominal Dollars
1972,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,98070.2,Million Nominal Dollars
1973,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,111894.2,Million Nominal Dollars
1974,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,153369,Million Nominal Dollars
1975,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,171853.7,Million Nominal Dollars
1976,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,193915.8,Million Nominal Dollars
1977,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,220499.1,Million Nominal Dollars
1978,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,239280.2,Million Nominal Dollars
1979,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,297574.6,Million Nominal Dollars
1980,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,374350,Million Nominal Dollars
1981,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,427901.2,Million Nominal Dollars
1982,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,426482,Million Nominal Dollars
1983,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,417621.5,Million Nominal Dollars
1984,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,435312.9,Million Nominal Dollars
1985,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,438343.1,Million Nominal Dollars
1986,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,384090.9,Million Nominal Dollars
1987,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,397626.6,Million Nominal Dollars
1988,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,411568.4,Million Nominal Dollars
1989,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,439051.3,Million Nominal Dollars
1990,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,474652.2,Million Nominal Dollars
1991,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,472439.6,Million Nominal Dollars
1992,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,476845,Million Nominal Dollars
1993,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,492274.6,Million Nominal Dollars
1994,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,504856.4,Million Nominal Dollars
1995,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,514623.5,Million Nominal Dollars
1996,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,560292.9,Million Nominal Dollars
1997,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,567961.8,Million Nominal Dollars
1998,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,526282.6,Million Nominal Dollars
1999,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,558626.7,Million Nominal Dollars
2000,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,687710.9,Million Nominal Dollars
2001,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,696242.1,Million Nominal Dollars
2002,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,663964.4,Million Nominal Dollars
2003,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,755070.3,Million Nominal Dollars
2004,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,871210.2,Million Nominal Dollars
2005,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1045730.4,Million Nominal Dollars
2006,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1158820.6,Million Nominal Dollars
2007,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1233868.7,Million Nominal Dollars
2008,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1408759.3,Million Nominal Dollars
2009,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1066508.7,Million Nominal Dollars
2010,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1214266.6,Million Nominal Dollars
2011,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1392399.8,Million Nominal Dollars
2012,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1355104.3,Million Nominal Dollars
2013,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1376255,Million Nominal Dollars
2014,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1395259.8,Million Nominal Dollars
2015,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1128335,Million Nominal Dollars
2016,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1038803.5,Million Nominal Dollars
2017,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1136198.6,Million Nominal Dollars
2018,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1271886.9,Million Nominal Dollars
2019,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1223754.2,Million Nominal Dollars
2020,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1007572,Million Nominal Dollars
2021,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1316791,Million Nominal Dollars
2022,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1719590.8,Million Nominal Dollars
2023,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,1568550.8,Million Nominal Dollars
2024,TETCVUS,Energy_Expenditure,Energy Expenditures in Million Nominal Dollars,Not Available,Million Nominal Dollars
1949,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1950,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1951,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1952,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1953,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1954,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1955,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1956,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1957,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1958,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1959,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1960,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1961,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1962,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1963,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1964,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1965,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1966,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1967,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1968,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1969,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1970,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.7,Percent
1971,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.7,Percent
1972,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.7,Percent
1973,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.9,Percent
1974,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,9.9,Percent
1975,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,10.2,Percent
1976,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,10.4,Percent
1977,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,10.6,Percent
1978,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,10.2,Percent
1979,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,11.3,Percent
1980,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,13.1,Percent
1981,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,13.3,Percent
1982,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,12.8,Percent
1983,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,11.5,Percent
1984,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,10.8,Percent
1985,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,10.1,Percent
1986,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,8.4,Percent
1987,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,8.2,Percent
1988,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.9,Percent
1989,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.8,Percent
1990,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,8,Percent
1991,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.7,Percent
1992,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.3,Percent
1993,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.2,Percent
1994,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.9,Percent
1995,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.7,Percent
1996,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.9,Percent
1997,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.6,Percent
1998,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,5.8,Percent
1999,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,5.8,Percent
2000,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.7,Percent
2001,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.6,Percent
2002,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.1,Percent
2003,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.6,Percent
2004,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.1,Percent
2005,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,8,Percent
2006,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,8.4,Percent
2007,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,8.5,Percent
2008,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,9.5,Percent
2009,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.4,Percent
2010,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,8.1,Percent
2011,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,8.9,Percent
2012,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,8.3,Percent
2013,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,8.2,Percent
2014,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,7.9,Percent
2015,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.2,Percent
2016,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,5.5,Percent
2017,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,5.8,Percent
2018,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.2,Percent
2019,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,5.7,Percent
2020,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,4.7,Percent
2021,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,5.6,Percent
2022,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,6.6,Percent
2023,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,5.7,Percent
2024,TEGDSUS,pct_EnergyExpend_w_GDP,Energy Expenditures as Share of GDP in Percent,Not Available,Percent
1949,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1950,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1951,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1952,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1953,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1954,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1955,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1956,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1957,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1958,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1959,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1960,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1961,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1962,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1963,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1964,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1965,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1966,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1967,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1968,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1969,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1970,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,404,Nominal Dollars
1971,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,434,Nominal Dollars
1972,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,467,Nominal Dollars
1973,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,528,Nominal Dollars
1974,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,717,Nominal Dollars
1975,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,796,Nominal Dollars
1976,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,889,Nominal Dollars
1977,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1001,Nominal Dollars
1978,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1075,Nominal Dollars
1979,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1322,Nominal Dollars
1980,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1647,Nominal Dollars
1981,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1865,Nominal Dollars
1982,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1841,Nominal Dollars
1983,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1786,Nominal Dollars
1984,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1846,Nominal Dollars
1985,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1842,Nominal Dollars
1986,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1599,Nominal Dollars
1987,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1641,Nominal Dollars
1988,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1683,Nominal Dollars
1989,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1779,Nominal Dollars
1990,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1901,Nominal Dollars
1991,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1867,Nominal Dollars
1992,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1859,Nominal Dollars
1993,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1894,Nominal Dollars
1994,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1919,Nominal Dollars
1995,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1933,Nominal Dollars
1996,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,2080,Nominal Dollars
1997,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,2083,Nominal Dollars
1998,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,1908,Nominal Dollars
1999,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,2002,Nominal Dollars
2000,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,2437,Nominal Dollars
2001,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,2443,Nominal Dollars
2002,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,2308,Nominal Dollars
2003,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,2603,Nominal Dollars
2004,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,2975,Nominal Dollars
2005,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3539,Nominal Dollars
2006,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3884,Nominal Dollars
2007,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,4096,Nominal Dollars
2008,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,4633,Nominal Dollars
2009,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3477,Nominal Dollars
2010,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3926,Nominal Dollars
2011,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,4469,Nominal Dollars
2012,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,4318,Nominal Dollars
2013,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,4356,Nominal Dollars
2014,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,4383,Nominal Dollars
2015,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3519,Nominal Dollars
2016,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3217,Nominal Dollars
2017,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3496,Nominal Dollars
2018,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3893,Nominal Dollars
2019,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3728,Nominal Dollars
2020,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3039,Nominal Dollars
2021,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,3965,Nominal Dollars
2022,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,5148,Nominal Dollars
2023,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,4657,Nominal Dollars
2024,TETCHUS,EnergyExpend_per_capita,Energy Expenditures per Capita in Nominal Dollars,Not Available,Nominal Dollars
1949,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,13.65,Thousand Btu per Chained (2017) Dollar
1950,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,13.64,Thousand Btu per Chained (2017) Dollar
1951,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,13.51,Thousand Btu per Chained (2017) Dollar
1952,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.89,Thousand Btu per Chained (2017) Dollar
1953,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.65,Thousand Btu per Chained (2017) Dollar
1954,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.38,Thousand Btu per Chained (2017) Dollar
1955,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.72,Thousand Btu per Chained (2017) Dollar
1956,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.93,Thousand Btu per Chained (2017) Dollar
1957,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.66,Thousand Btu per Chained (2017) Dollar
1958,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.69,Thousand Btu per Chained (2017) Dollar
1959,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.41,Thousand Btu per Chained (2017) Dollar
1960,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.55,Thousand Btu per Chained (2017) Dollar
1961,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.41,Thousand Btu per Chained (2017) Dollar
1962,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.22,Thousand Btu per Chained (2017) Dollar
1963,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12.17,Thousand Btu per Chained (2017) Dollar
1964,TETGRUS,PrimEnergyUse_per_GDP,Total Primary Energy Consumption per Real Dollar of GDP in Thousand Btu per Chained (2017) Dollar,12,Thousand Btu per Chained (2017) Dollar
